figure,series,sf,version,name,rep,seconds,rows
fig1_11,duckdb_warm,10,v0.8.0,Q3.2,3,0.054,
fig1_11,duckdb_warm,10,v0.8.0,Q3.3,1,0.079,
fig1_11,duckdb_warm,10,v0.8.0,Q3.3,2,0.056,
fig1_11,duckdb_warm,10,v0.8.0,Q3.3,3,0.044,
fig1_11,duckdb_warm,10,v0.8.0,Q3.4,1,0.060,
fig1_11,duckdb_warm,10,v0.8.0,Q3.4,2,0.040,
fig1_11,duckdb_warm,10,v0.8.0,Q3.4,3,0.033,
fig1_11,duckdb_warm,10,v0.8.0,Q4.1,1,0.183,
fig1_11,duckdb_warm,10,v0.8.0,Q4.1,2,0.144,
fig1_11,duckdb_warm,10,v0.8.0,Q4.1,3,0.114,
fig1_11,duckdb_warm,10,v0.8.0,Q4.2,1,0.164,
fig1_11,duckdb_warm,10,v0.8.0,Q4.2,2,0.133,
fig1_11,duckdb_warm,10,v0.8.0,Q4.2,3,0.105,
fig1_11,duckdb_warm,10,v0.8.0,Q4.3,1,0.150,
fig1_11,duckdb_warm,10,v0.8.0,Q4.3,2,0.157,
fig1_11,duckdb_warm,10,v0.8.0,Q4.3,3,0.134,
fig7_10,duckdb_latencies,10,v1.1.3,customer,1,3.275,
fig7_10,duckdb_latencies,10,v1.1.3,customer,2,3.217,
fig7_10,duckdb_latencies,10,v1.1.3,customer,3,3.190,
fig7_10,duckdb_latencies,10,v1.1.3,part,1,3.559,
fig7_10,duckdb_latencies,10,v1.1.3,part,2,3.632,
fig7_10,duckdb_latencies,10,v1.1.3,part,3,3.592,
fig7_10,duckdb_latencies,10,v1.1.3,supplier,1,2.946,
fig7_10,duckdb_latencies,10,v1.1.3,supplier,2,2.993,
fig7_10,duckdb_latencies,10,v1.1.3,supplier,3,2.893,
fig7_10,duckdb_latencies,10,v1.1.3,date,1,4.524,
fig7_10,duckdb_latencies,10,v1.1.3,date,2,4.610,
fig7_10,duckdb_latencies,10,v1.1.3,date,3,4.490,
fig8,duckdb_ms,10,v1.1.3,selfjoin_orderkey,1,0.928,299884083
fig8,duckdb_ms,10,v1.1.3,selfjoin_orderkey,2,0.912,299884083
fig8,duckdb_ms,10,v1.1.3,selfjoin_orderkey,3,0.927,299884083
fig9,duckdb_distinct,10,v1.1.3,distinct_orderkey,1,0.360,
fig9,duckdb_distinct,10,v1.1.3,distinct_orderkey,2,0.376,
fig9,duckdb_distinct,10,v1.1.3,distinct_orderkey,3,0.377,
fig9,duckdb_where,10,v1.1.3,where_linenumber_3,1,1.216,
fig9,duckdb_where,10,v1.1.3,where_linenumber_3,2,1.128,
fig9,duckdb_where,10,v1.1.3,where_linenumber_3,3,1.216,
fig1_11,duckdb_cold,10,v1.1.3,Q1.1,1,0.119,4474878955766
fig1_11,duckdb_cold,10,v1.1.3,Q1.1,2,0.110,4474878955766
fig1_11,duckdb_cold,10,v1.1.3,Q1.1,3,0.115,4474878955766
fig1_11,duckdb_cold,10,v1.1.3,Q1.2,1,0.106,962506157441
fig1_11,duckdb_cold,10,v1.1.3,Q1.2,2,0.113,962506157441
