figure,series,sf,version,name,rep,seconds,rows
fig9,duckdb_distinct,10,v0.8.0,distinct_orderkey,1,0.575,
fig9,duckdb_distinct,10,v0.8.0,distinct_orderkey,2,0.567,
fig9,duckdb_distinct,10,v0.8.0,distinct_orderkey,3,0.587,
fig9,duckdb_where,10,v0.8.0,where_linenumber_3,1,1.603,
fig9,duckdb_where,10,v0.8.0,where_linenumber_3,2,1.730,
fig9,duckdb_where,10,v0.8.0,where_linenumber_3,3,1.597,
fig1_11,duckdb_cold,10,v0.8.0,Q1.1,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q1.1,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q1.1,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q1.2,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q1.2,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q1.2,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q1.3,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q1.3,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q1.3,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q2.1,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q2.1,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q2.1,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q2.2,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q2.2,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q2.2,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q2.3,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q2.3,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q2.3,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q3.1,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q3.1,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q3.1,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q3.2,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q3.2,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q3.2,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q3.3,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q3.3,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q3.3,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q3.4,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q3.4,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q3.4,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q4.1,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q4.1,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q4.1,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q4.2,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q4.2,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q4.2,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q4.3,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q4.3,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,10,v0.8.0,Q4.3,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q1.1,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q1.1,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q1.1,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q1.2,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q1.2,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q1.2,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q1.3,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q1.3,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q1.3,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q2.1,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q2.1,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q2.1,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q2.2,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q2.2,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q2.2,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q2.3,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q2.3,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q2.3,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q3.1,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q3.1,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q3.1,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q3.2,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q3.2,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q3.2,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q3.3,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q3.3,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q3.3,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q3.4,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q3.4,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q3.4,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q4.1,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q4.1,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q4.1,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,10,v0.8.0,Q4.2,1,,ERROR_BIGINT_TO_DATE
